City,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code,State
US,328239523,308758105,6.3,308745538,5.964145579,22.2517841,16.4691511,50.75019531,76.32298137,13.42772059,1.275925569,5.942264911,0.245837854,2.785269707,18.45366958,60.1115369,18230322,13.6,139684244,64,217500,1595,500,1062,1386048,120756048,2.62,85.8,21.6,90.3,82.7,88,32.1,8.612325636,9.5,63,58.3,708138598,2040441203,5696729632,5208023478,4219821871,13443,26.9,62843,34103,10.5,7912405,130881471,7097310272,1.8,26485532,27626360,14844597,9878397,7952386,18987918,2521682,24070685,87.4,3531905.43,1,
Albuquerque,560513,546153,2.6,545852,5.9,22.4,15.1,51.3,73.9,3.3,4.7,2.9,0.1,4.4,49.2,38.9,37932,9.9,Not applicable,59.7,198200,1351,443,873,Not applicable,224166,2.47,84.0,28.0,90.7,80.3,89.7,35.2,9.649944891,9.104775363,63.6,59.6,1578983,5183979,Suppressed to avoid disclosure of confidential information,4784857,9067367,16325,21.8,52911,30403,16.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,42272,20208,16129,16511,23116,4147,35096,2907.6,187.73,3502000,New Mexico
Anaheim,350365,336109,4.2,336265,6.5,24.0,11.6,50.7,66.4,2.7,0.5,16.8,0.4,3.3,54.3,24.2,9462,36.5,Not applicable,44.9,575600,2473,572,1651,Not applicable,101658,3.39,88.7,61.1,93.8,89.1,76.8,25.5,5.100241201,13.36560158,67.3,60.2,1589090,2204716,4824368,7153513,3757876,10948,28.9,71763,28465,14.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,29541,15475,10359,17152,11181,1731,26489,6747.6,49.84,0602000,California
Anchorage,288000,291836,-1.3,291826,7.2,24.5,10.5,49.0,62.6,5.6,7.9,9.6,2.4,9.5,9.2,57.9,26958,10.9,Not applicable,61.3,314800,2120,737,1320,Not applicable,106567,2.69,80.2,17.8,95.9,90.0,93.9,36.1,8.438808536,12.44310281,68.5,66.3,1106192,3656166,479841,3147741,4966800,16633,18.9,84928,41415,9.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,26033,12937,9530,5351,19271,3291,21070,171.2,1704.68,0203000,Alaska
Arlington,398854,365098,9.2,365438,6.7,25.6,10.4,50.8,59.9,22.7,0.5,6.6,0.2,3.2,29.6,38.6,18253,20.8,Not applicable,55.2,170700,1517,613,1055,Not applicable,135333,2.89,84.5,33.5,94.7,85.5,85.2,30.3,7.277113335,20.02519674,69,63.3,910827,1901208,15060250,4033952,5419650,14429,27.4,60571,28484,14.6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,35988,18399,14346,17485,17039,3366,30867,3811.3,95.88,4804000,Texas
Atlanta,506811,427059,18.7,420003,5.4,18.3,11.5,51.5,40.9,51.0,0.3,4.4,0.0,2.4,4.3,38.3,18656,7.6,Not applicable,43.5,290400,1916,604,1153,Not applicable,206229,2.19,78.9,9.3,90.1,81.1,90.9,51.8,8.686939791,11.51790323,65.6,63.4,3023387,5384518,3609685,9224850,6088296,13719,27.2,59948,47424,20.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,64593,31542,28172,30104,31750,5427,56197,3154.3,133.15,1304000,Georgia
Aurora,379289,324659,16.8,325078,7,25.3,11.2,50.4,60.4,16.5,0.9,6.5,0.4,5.2,28.6,44.4,23221,20.1,Not applicable,59.9,290000,1617,475,1328,Not applicable,130054,2.82,81.5,33.0,94.3,87.3,87.7,29.7,6.855129753,12.54618666,71.3,65.6,567124,1476078,644129,6512036,4095699,12081,29.5,65100,30504,10.7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25404,12704,9924,9868,14476,2372,21864,2100.9,154.73,0804000,Colorado
Austin,978908,801829,22.1,790390,6.4,20.4,8.9,49.2,72.6,7.8,0.7,7.6,0.1,3.5,33.9,48.3,36094,18.8,Not applicable,45.1,337400,2031,806,1280,Not applicable,380392,2.44,79.0,31.9,94.9,87.5,89.4,51.7,6.22832519,14.70161904,73.8,67.4,3474670,6609254,11413406,55701978,14738182,17491,24.5,71576,43043,13.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,96048,51518,34253,28888,62905,7314,84168,2653.2,297.90,4805000,Texas
Bakersfield,384145,347817,10.4,347483,8.3,29.9,10.0,50.6,67.7,7.6,0.9,7.4,0.2,3.8,50.2,32.5,13081,18.9,Not applicable,59,247000,1696,514,1104,Not applicable,117050,3.19,85.6,41.6,92.8,87.0,80.1,21.9,7.330355143,8.096806893,63.6,56.5,713421,3073591,646187,3693077,5263757,14679,23.0,63139,27060,17.4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25938,13070,10008,14254,10662,1744,22871,2444.2,142.16,0603526,California
Baltimore,593490,620770,-4.4,620961,6.4,20.7,13.6,53.0,30.5,62.4,0.3,2.6,0.0,2.5,5.3,27.5,28002,8.1,Not applicable,47.5,160100,1474,551,1073,Not applicable,239116,2.45,83.6,9.9,85.7,74.5,85.2,31.9,11.85610996,7.464338842,61.8,60.3,1607810,11349171,5043278,7954322,3647668,5871,31.4,50379,31271,21.2,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,50735,21952,24599,27673,20782,4216,43918,7671.5,80.94,2404000,Maryland
Baton Rouge,220236,229423,-4.0,229493,6.7,21.6,13.8,52.1,38.7,54.7,0.3,3.5,0.1,1.3,3.7,36.6,9648,5.5,Not applicable,49.8,174000,1330,382,879,Not applicable,83733,2.58,81.4,8.5,87.7,80.4,88.0,33.2,13.05575342,11.08205211,64.1,60.7,881253,2832961,Suppressed to avoid disclosure of confidential information,2296225,4262511,18528,21.3,44470,28491,24.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25952,12896,10518,12354,12582,2777,21833,2982.5,76.95,2205000,Louisiana
Birmingham,209403,212585,-1.5,212237,6.3,20.1,14.9,52.8,25.8,69.9,0.3,1.1,0.0,1.5,3.9,23.8,12451,3.8,Not applicable,44.9,91100,1105,386,837,Not applicable,90867,2.24,78.8,5.4,83.2,71.9,86.7,27.4,13.97596159,14.390031,60.2,58.5,625294,5574098,4118352,7099922,3305948,15591,21.9,37375,24480,25.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20738,10318,8286,10605,8770,2082,17113,1453.0,146.07,0107000,Alabama
Boston,692600,617792,12.1,617594,5,15.9,11.5,52.0,52.8,25.2,0.3,9.7,0.1,5.3,19.8,44.5,16022,28.3,Not applicable,35,532700,2442,815,1620,Not applicable,269522,2.36,80.2,37.7,91.0,85.4,87.2,49.7,8.219919721,3.90685331,69.7,67.4,4409241,16734496,3334504,7074780,7885597,12389,30.9,71115,44690,18.9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,59268,33543,19390,17686,37403,4569,50282,12792.7,48.28,2507000,Massachusetts
Buffalo,255284,261346,-2.3,261310,6.6,22.6,12.4,52.3,47.1,36.5,0.5,5.9,0.0,4.0,12.3,43.1,10769,10.4,Not applicable,40.7,89800,989,382,776,Not applicable,110427,2.24,82.2,19.1,85.7,74.6,84.6,27.6,12.90285018,5.145017108,59.8,57.3,510502,4229888,5260550,2011902,1972013,7603,21.0,37354,24400,30.1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15178,8295,5285,4915,9177,1314,12693,6470.6,40.38,3611000,New York
Chandler,261165,236157,10.6,236123,6.2,25.1,11.0,50.6,74.4,5.6,1.7,10.7,0.1,4.4,20.8,58.5,12919,15.7,Not applicable,64.9,300800,1696,460,1312,Not applicable,91216,2.76,81.3,25.0,96.8,91.7,93.1,44.7,5.742487017,8.057905487,71.2,65.0,559785,1186123,2535202,5269840,4225035,17201,24.7,82925,39632,7.6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20607,9288,7654,5531,13999,1710,17624,3665.8,64.41,0412000,Arizona
Charlotte,885708,735607,20.4,731424,6.8,23.7,10.2,51.9,48.8,35.2,0.4,6.5,0.1,2.8,14.3,41.5,35825,16.7,Not applicable,52.9,220300,1446,496,1135,Not applicable,330391,2.56,81.5,21.7,94.0,87.4,89.1,44.3,5.40417204,13.78880076,71.6,66.5,2413557,7031767,9376077,19884597,10901026,14062,25.9,62817,38000,12.8,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,81973,41600,32008,32449,45269,7655,69136,2457.1,297.68,3712000,North Carolina
Chesapeake,244835,222311,10.1,222209,6.3,24.2,13.0,51.1,61.1,30.0,0.2,3.2,0.1,4.0,6.2,57.4,26832,5.9,Not applicable,71.4,273700,1867,587,1279,Not applicable,84849,2.76,85.5,8.3,94.3,89.9,92.1,33.2,7.948447438,8.302478215,61.9,59.8,447563,978168,1504214,2225172,4114946,18015,26.7,78640,35536,8.6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,16220,8748,5751,5419,9981,2502,12772,652.0,340.80,5116000,Virginia
